Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
13876.4,140984,-5240,33,315,5844
9958.06,27101.6,-3330.73,27,174,1415
8716.96,10783.7,-3113.44,34,156,654
15707.2,116106,-5050,54,271,4426
5189.89,1928,-1113,14,68,149
15522.3,115720,-5350,47,271,4426
7971.42,12121,-2564,27,110,765
14985.5,140936,-4070,49,315,5844
7471.31,13998.9,-2089.16,62,120,809
4014.91,2176.7,-1127.7,20,54,165
7297.55,14181,-3814,8,131,804
15531.3,131051,-6548,59,353,5426
6224.74,7286.13,-1591.47,50,93,545
8794.65,29344,-3825,90,162,1576
7928,9487.37,-1230,28,102,516
12300.5,63094,-4707,67,269,2988
9741.53,36221.1,-3770,41,196,1997
7904.45,20182.6,-3025.14,67,145,1156
8712.23,28876.3,-3332.86,37,179,1626
8401.29,26143.6,-3130,25,156,1364
4558.11,3980.58,-1379.14,10,72,340
13006.2,154790,-6283,129,280,6508
9454.18,26830.4,-3438.43,42,174,1415
7092.56,9274.33,-3125.21,17,138,554
11738.8,55357,-7532,163,231,2327
20911.5,163006,-8730,93,449,5537
8580.52,14183,-2421,28,118,845
6297.16,5591,-2998,22,103,399
8550.48,34661,-4331,102,171,1988
4895.97,1879.96,-772.635,30,51,102
16582.5,161885,-9175,74,384,6403
17573.4,268551,-10935,63,481,9959
18898.4,152912,-9480,80,449,5537
19252.1,454805,-12489,321,431,15329
15816.9,121650,-6226,89,334,4818
11964.3,54731,-7620,50,278,2607
5411.43,3049.48,-1192.25,51,67,224
13798.6,140416,-6364.12,186,308,6057
15964.9,138898,-9950,86,449,5537
7418.72,9309.47,-3061.09,23,138,554
13289.8,40534.9,-2130,40,234,1581
22160.1,245987,-10400,83,537,8350
20378.7,277026,-8123,87,420,7714
6646.24,10459.1,-2940,16,109,689
15343.8,63836.7,-5210,37,215,2188
4168.47,2247.95,-1061.12,20,54,165
9877.07,31100.9,-3196.81,117,171,1747
9459.59,26308,-3365.97,42,174,1415
8169.71,9517.64,-2993.24,86,130,490
9955.22,17503.5,-3883.67,69,172,973
9813.98,10188.8,-2650,35,154,587
8664.27,10403.1,-2793.51,82,139,587
18749.2,145798,-6000,74,449,5537
16543.6,230510,-12818,83,364,8856
8667.93,13927.1,-2835.55,24,148,729
7374.56,14058,-3342,91,125,769
18748,161504,-9590,87,388,6290
8690.79,12106,-2660.48,89,136,619
14394.6,140075,-5870,41,315,5844
6091.91,8753,-3267,19,110,582
5960.64,4900.31,5650,19,85,343
5805.36,11283.7,-1908.66,17,102,764
6817.23,5234.12,-2160.64,60,107,346
7352.39,15320,-3916,32,149,934
4665.23,4958,-1804,9,74,369
10094.3,36871,-4260,40,196,1997
4004.33,2168.84,-1091.01,20,54,165
16655.6,157508,-9783,66,393,6185
8870.42,17114.1,-4342.75,36,183,931
5814.95,7521.89,-1830.41,75,104,457
17237.6,283372,-12391,84,450,10381
10425.1,22165,-2010,36,182,1212
11249,86460.1,-2750,32,220,3450
12110.9,73626.2,-3970,28,249,3630
10560.2,56255,-5704,18,218,2823
7263.68,5395.25,-1720,16,79,292
14018.7,140903,-3840,53,315,5844
7459.32,9274.98,-3105.44,25,138,554
12830.5,80169.9,-4590,42,272,3539
20795.4,248000,-10693,344,503,8097
12942.1,60079.5,-4710,24,247,2754
14556.7,100694,-1960,44,220,3450
10382.1,71498.5,-4160,29,249,3630
21526.4,406713,-6670,64,473,14125
11202.1,35439,-5864,41,270,1643
7943.07,11931,-2090,31,131,805
4788.52,3221.14,-1214.88,28,71,249
6698.31,26212,-2107,38,136,1463
7422.99,9606.19,-2493.37,16,123,621
17099.2,145465,-7257.69,194,362,5847
9997.54,31856.3,-3412.56,85,176,1922
10807.7,85930.7,-2250,34,220,3450
8475.38,12426,-2633.31,75,136,619
12804.7,60269,-5200,31,247,2754
9032.14,20775.5,-3567.06,92,163,1162
19107.8,141148,-8390,82,449,5537
9770.75,26850,-4780,22,233,1373
10054.1,49995.6,-5540,29,216,2677
3578.72,1435.1,-1039.37,38,52,133
8746.41,17623.1,-2780.87,76,142,844
6730.52,5084.08,-2207.19,52,107,346
9864.73,43563.3,-3026.12,99,159,2181
4590.72,2414.36,-917.289,28,54,165
10397.1,98809,-4553,33,246,4617
2572.55,50.5167,-624,8,33,5
13338.6,75467.9,-4190,43,264,3217
10978.4,39827.6,-3924.89,32,193,2118
19417.2,160910,-8350,89,388,6290
24025.5,274009,-12609,53,544,9011
5724.02,7567.61,-1872.21,77,104,457
5793.87,7660.14,-1863.96,75,104,457
8885.39,28819.3,-3451.39,22,179,1626
9748.57,27700.3,-2797.86,85,158,1403
7947.95,11615.2,-2629.05,84,128,693
9465.86,30363.3,-3197.55,125,171,1747
13107.1,46598.5,-5727.12,59,273,2061
7567.98,15375.9,-2663.01,67,134,970
8567.61,9985.2,-3520,35,154,587
10369.1,28559.3,-2553.57,12,133,1027
22507.1,467390,-13400,41,483,15505
18622.8,205471,-8641,176,380,7457
9943.22,26310.2,-3344.63,39,174,1415
24588.1,205667,-15102,107,498,6418
27777.9,752786,-13265,101,576,18650
5189.83,4370.62,-1490,20,85,343
15168.7,126647,-5984,48,314,4913
12317.1,70136.3,-5516.14,53,262,3211
9519.81,36375.9,-3660,42,196,1997
4071.64,2203.91,-1001.46,19,54,165
9644.95,29051.4,-1910,28,156,1364
14769.1,80786.9,-158,68,223,2059
4170.66,2242.18,-1101.59,19,54,165
12565.3,58223.6,-2690,62,223,2822
8519.39,15694,-2947.29,102,138,934
9260.57,29886.5,-3293.33,120,171,1747
24511,474472,-10700,45,483,15505
13322.8,93944.3,-4950,72,254,3885
9125.39,24000.5,-2590,19,166,1111
2489.15,53.7777,-349,8,33,5
2557.24,51.905,-293,96,33,5
6805.59,5201.6,-2114.95,55,107,346
7708.3,9402.02,-3065.96,100,130,490
14539.1,141501,-5480,44,315,5844
9226.45,12949.4,-2772.16,90,136,619
12420.8,57137,-5170,41,263,2396
9300.12,30532.8,-3423.94,129,171,1747
7246.74,14479,-2637.32,64,134,970
2421.68,53.818,-531,6,33,5
14522.4,110170,-6240,31,322,4619
3768.76,1172.52,-831.422,30,51,102
10951.3,67957.2,-5376.51,142,247,3373
12105.7,53660.6,-4284.4,99,209,2534
12494.5,90004,-5348,46,206,2824
9320.09,17392.5,-4163.45,32,183,931
7238.42,13963.9,-2320.11,89,120,809
9990.33,28473.8,-2759,97,158,1403
11960.4,60062.4,-6110,36,247,2754
9644.63,25580.3,-2198.32,19,174,1415
13819.6,61856.8,-4590,29,247,2754
6618.12,12585.4,-1664.56,39,105,765
11368.6,49334.2,-5850,25,215,2188
7096.49,4137.19,-2389.9,69,101,249
9880.12,18701,-4093,81,137,849
6474.53,8242.18,-1640,32,102,516
13510.5,52118.9,-5964.05,62,288,2334
12381,52737.5,-3420,42,224,2192
18571.2,160977,-9840,91,388,6290
11563.2,18955,-3677,8,183,895
7341.04,13859.7,-2365.63,87,120,809
9644.35,52308.3,-2860,29,188,2599
6048.71,11240,-1890.35,25,102,764
7546.32,6816.97,-1130,16,119,395
4668.27,2971.25,-1389.93,35,77,205
5033.75,4258.03,-1690,11,79,317
11666,53288,-2668,88,169,1687
17292.3,219612,-16166,182,459,8347
7180.39,6250,-3088,29,121,404
11845.9,56421.4,-2860,65,223,2822
11578.4,36065,-4388,33,208,1521
16177.9,134898,-9589,72,416,5126
2600.65,55.4455,-345,6,33,5
19043.6,274472,-9066,76,391,8730
14492.5,157976,-5479,52,332,6280
19548.5,161497,-8910,88,388,6290
7191.13,7212,-3103,23,114,460
11169.1,52682.4,-3720,53,224,2192
7028.2,8862,-1397,27,135,584
5795.01,11079.8,-1913.69,20,102,764
15189.3,116551,-6820,60,258,3382
6382.58,11489.8,-1789.32,20,102,764
10523,46738,-5420,41,220,2391
10489.5,26710.7,-1306.69,0,158,1403
5657.34,4200.2,-1532.97,126,88,318
5596.69,10420,-2176,149,99,759
8476.73,26884.6,-2710,36,166,1414
11991,50356.3,-3150,32,234,2464
5130.03,2707,-2512,9,82,206
15079.9,117879,-6610,55,271,4426
15493.8,141909,-2743.01,194,362,5847
10239.9,86583.5,-7600,60,254,3885
4957.67,1536.49,-1530.79,19,76,147
7844.81,9586.19,-2945,101,130,490
5286.57,4306.98,-1530,11,79,317
4036.11,1371.04,-971.03,33,51,102
9893.27,38882.9,-3705.01,37,180,2054
11764.8,74748.4,-4980,31,249,3630
17808.2,160269,-9570,81,388,6290
7151.28,14147,-2373.68,95,120,809
11824.1,54628.6,-2060,45,223,2822
9724.53,39742,-5417,21,177,1803
20675.4,244859,-12900,82,540,8870
