Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Label
9845.63,17166.7,-3831.21,76,172,973,5
7803.6,9298.8,-1834.2,70,107,517,4
10791.9,38067.9,-4367.33,114,205,1751,2
7464.45,25678.3,-1970,37,166,1414,4
11390,68931.5,-2107.33,147,247,3373,5
11195.5,57621.6,-3610,29,223,2822,5
9232.11,11184.6,-2689.79,84,139,587,5
13696.4,90473.1,-5410,55,254,3885,3
10880.5,37528.1,-5811.97,39,235,1818,1
7996.49,25212.6,-1990,36,166,1414,4
4365.83,1934.94,-1074.23,5,63,166,3
8360.78,9647.58,-2932.55,96,130,490,2
6632.28,12373.4,-1828.77,14,105,765,3
9572.08,28111.6,-2891.41,99,158,1403,4
10793.8,84853.8,-3250,24,220,3450,4
11185.2,36759,-3171,24,211,1814,1
11367,27118.4,-645,40,166,1111,3
17237.8,195335,-10008,78,403,7345,1
17825.2,174016,-4720,85,403,6746,3
21499.4,465709,-12700,80,483,15505,3
7338.18,13973.1,-2389.47,88,120,809,4
3810.25,2199.02,-1123.68,19,54,165,2
3691.44,2173.42,-584.59,5,43,161,5
7765.39,6054.8,-2315.47,14,110,294,1
10565.6,10500.6,-1710,36,154,587,2
13494.2,60684.7,-4970,40,247,2754,3
7726.41,9365.98,-518,26,102,516,4
11392.9,67476.1,-5314.26,142,247,3373,5
7670.15,9540.04,-3073.58,101,130,490,2
9185,16015,-2907,71,132,971,1
4944.71,2773.49,-1224.55,48,67,224,2
8129.94,9794.66,-2837.01,26,138,554,4
22454.4,228036,-13850,103,499,7348,1
11562.4,58336.8,-2210,52,223,2822,4
8478.61,4780.96,-2568.96,26,131,271,5
9020.21,17476.2,-4127.4,30,183,931,5
10453.5,53075.4,-2940,35,188,2599,4
10015,38137.2,-4073.49,25,193,2118,3
5640.78,4413.23,-961,17,88,292,5
11984.4,71437.6,-4456.51,45,247,3373,2
20453.6,167082,-8050,78,449,5537,2
6363.7,6822,-2320,14,105,427,1
9789.11,34725,-3527.9,86,176,1922,4
9761.2,34220,-4547,23,188,1991,1
7253.13,14515,-1522,28,153,806,1
9773.64,34345,-3926,27,187,1576,1
4360.31,2254.65,-997.984,22,54,165,2
13892.7,143280,-6281.03,157,308,6057,3
17527.8,164837,-7225.25,66,352,6744,4
12955.3,65022.7,545,65,223,2822,4
8695.36,26406.6,-2500,25,156,1364,3
11926.4,59075.2,-2480,65,223,2822,4
7339.31,8818.23,-1839.07,71,107,517,4
15667.4,191744,-10109,71,380,7094,1
13123.1,51468.4,-4040,35,234,2464,2
24871.9,472765,-8850,47,483,15505,2
6264.87,4267.95,-1953.29,57,101,270,5
9749.23,26309.8,-3351.99,23,174,1415,3
12857.6,52380.4,-5090,16,215,2188,3
6965.66,5254.65,-2180.69,57,107,346,3
5568.44,4738.24,-1750,22,85,343,5
14669.9,109643,-6680,36,322,4619,4
13575.3,91203.8,-5660,70,254,3885,3
2525.12,51.5672,-688,8,33,5,5
20237.8,343938,-9220,111,462,11563,5
13252,98492,-9909,47,355,4245,1
10939.7,42173,-5095,37,197,2055,1
16304.5,160963,-7475.54,73,352,6744,2
5039.24,2805.51,-1186.3,47,67,224,4
6777.43,4233.83,-1900,27,86,205,5
2448.47,52.3023,-417,6,33,5,5
14746.7,59547.6,-6725.62,161,305,2610,2
7185.09,14036.6,-2422.49,91,120,809,3
20599.8,244621,-11100,80,540,8870,3
25002.3,303703,-8990,104,537,8350,3
14423.1,216087,-10115,197,346,7950,1
